Day_Num,Day_Name,Organic_Search_Visitors,Paid_Ad_Visitors,Social_Media_Visitors,Marketing_Spend_Dollars,Conversion_Rate_Pct
1,Mon,3200,1800,950,450.00,2.1
2,Tue,3400,2100,1100,520.00,2.4
3,Wed,3100,1950,1050,480.00,2.2
4,Thu,3800,2400,1300,600.00,2.8
5,Fri,4200,2900,1600,750.00,3.1
6,Sat,4800,3400,2100,900.00,3.5
7,Sun,4500,3100,1900,820.00,3.3
8,Mon,3300,1900,1000,470.00,2.2
9,Tue,3600,2200,1150,540.00,2.5
10,Wed,3500,2050,1100,510.00,2.3
11,Thu,4000,2600,1450,680.00,2.9
12,Fri,4600,3200,1800,850.00,3.4
13,Sat,5100,3800,2300,1020.00,3.8
14,Sun,4900,3500,2150,950.00,3.6
