Player_ID,Player_Name,Team,Position,Draft_Year
P101, Aaron Judge ,Yankees,Outfield,2013
P102,Juan Soto,Yankees,Outfield,2015
P103,Shohei Ohtani,Dodgers,Designated Hitter,2017
P104,Mookie Betts,Dodgers,Shortstop,2011
P101, Aaron Judge ,Yankees,Outfield,2013
P105,Gunnar Henderson,Orioles,Shortstop,2019
P106,Adley Rutschman,Orioles,Catcher,2019
P107,Bryce Harper,Phillies,First Base,2010
P108,Bobby Witt Jr.,Royals,Shortstop,2019
P109, Tarik Skubal ,Tigers,Pitcher,2018
P110,Paul Skenes,Pirates,Pitcher,2023
