Player_ID,Player_Name,Position,Draft_Date,Base_Salary,Incentive_Bonus,Games_Played,Total_Yards
P101, Patrick Mahomes ,QB,2017-04-27,$45000000,$5000000,16,4183
P102,Justin Jefferson,WR,2020-04-23,12500000,1500000,10,1074
P103,Christian McCaffrey,RB,2017-04-27,$12000000,INVALID,16,1459
P104,Micah Parsons,LB,2021-04-29,$3600000,500000,17,NaN
P101, Patrick Mahomes ,QB,2017-04-27,$45000000,$5000000,16,4183
P105,Travis Kelce,TE,2013-04-26,14000000,1000000,15,984
P106,Nick Bosa,DE,2019-04-25,$17500000,$2000000,17,NaN
P107, Tyreek Hill ,WR,2016-04-28,20000000,2500000,16,1799
P108,Josh Allen,QB,2018-04-26,$30000000,NaN,17,4306
P109,Lamar Jackson,QB,2018-04-26,INVALID,$3000000,16,3678
P110,Derrick Henry,RB,2016-04-29,$10500000,750000,17,1167
P105,Travis Kelce,TE,2013-04-26,14000000,1000000,15,984
P111,CeeDee Lamb,WR,2020-04-23,$17900000,1200000,17,1749
P112,T.J. Watt,LB,2017-04-27,$28000000,$1500000,17,NaN
P113,Saquon Barkley,RB,2018-04-26,$12600000,NaN,14,962
