Team,Payroll,Wins
LAD,369244397,93
NYM,342303011,83
NYY,304091683,94
PHI,292315191,96
TOR,262314806,94
HOU,232140003,87
TEX,226526491,81
SD,223125239,90
ATL,220361106,76
CHC,213836202,92
LAA,208420995,72
BOS,203658855,89
ARI,181566110,80
SF,178562153,81
SEA,165596494,90
BAL,158571377,75
DET,157542361,87
KC,133630058,82
STL,131152698,78
MIN,129486216,70
COL,127325786,43
MIL,123525584,97
CIN,119036486,83
WSH,109465924,66
CLE,100265946,88
TB,88629788,77
PIT,84433338,71
CHW,79960763,60
ATH,78384241,76
MIA,67794627,79
